Epoch 24: Train Acc: 85.70% | Val Acc: 60.65%
Epoch 25: Train Acc: 86.30% | Val Acc: 58.33%
Epoch 26: Train Acc: 88.38% | Val Acc: 58.80%
Epoch 27: Train Acc: 89.37% | Val Acc: 62.04%
Epoch 28: Train Acc: 89.28% | Val Acc: 62.50%
Epoch 29: Train Acc: 91.16% | Val Acc: 62.96%
Epoch 30: Train Acc: 92.06% | Val Acc: 63.89%
Epoch 31: Train Acc: 91.26% | Val Acc: 66.67%
Epoch 32: Train Acc: 90.07% | Val Acc: 61.11%
Epoch 33: Train Acc: 90.76% | Val Acc: 62.04%
Epoch 34: Train Acc: 92.95% | Val Acc: 63.43%
Epoch 35: Train Acc: 92.06% | Val Acc: 60.65%
Epoch 36: Train Acc: 92.15% | Val Acc: 63.43%
Epoch 37: Train Acc: 94.54% | Val Acc: 61.57%
Epoch 38: Train Acc: 93.84% | Val Acc: 62.04%
Epoch 39: Train Acc: 91.46% | Val Acc: 63.43%
Epoch 40: Train Acc: 92.95% | Val Acc: 65.28%
Epoch 41: Train Acc: 95.13% | Val Acc: 64.35%
Epoch 42: Train Acc: 95.73% | Val Acc: 66.20%
